soldierId,bestSoldierPerc
47734,0.49997717
47735,0.5214112
47736,0.26358044
47737,0.32046443
47738,0.13878384
47739,0.05314347
47740,0.21824813
47741,0.3234321
47742,0.7876471
47743,0.44424346
47744,0.7982135
47745,0.026976079
47746,0.21399176
47747,0.3842581
47748,0.27772787
47749,0.7931144
47750,0.8343797
47751,0.74282444
47752,0.108137935
47753,0.9059181
47754,0.17862004
47755,0.23854521
47756,0.12209302
47757,0.97875535
47758,0.20666178
47759,0.4437154
47760,0.6683273
47761,0.6283976
47762,0.8746275
47763,0.19047384
47764,0.9165566
47765,0.8831376
47766,0.5357542
47767,0.15396036
47768,0.6859331
47769,0.22925432
47770,0.8054025
47771,0.43960592
47772,0.79852915
47773,0.6584132
47774,0.024888217
47775,0.39142007
47776,0.9598963
47777,0.5295642
47778,0.16591835
47779,0.90113354
47780,0.592354
47781,0.65915227
47782,0.2229206
47783,0.6540609
47784,0.91583955
47785,0.55716074
47786,0.027947903
47787,0.5413403
47788,0.2897313
47789,0.20511922
47790,0.83888423
47791,0.18735024
47792,0.74126506
47793,0.087762654
47794,0.21190736
47795,0.93335426
47796,0.9290743
47797,0.9720361
47798,0.10850105
47799,0.41918692
47800,0.75324404
47801,0.6240413
47802,0.6040952
47803,0.1137467
47804,0.6060107
47805,0.1596683
47806,0.63961434
47807,0.27518603
47808,0.9505038
47809,0.79162246
47810,0.09542346
47811,0.8765285
47812,0.18984742
47813,0.08703023
47814,0.05324316
47815,0.7556282
47816,0.075019
47817,0.6017329
47818,0.77146244
47819,0.26220885
47820,0.7715721
47821,0.8924271
47822,0.036765635
47823,0.050436795
47824,0.3200651
47825,0.92445004
47826,0.43811038
47827,0.23796313
47828,0.81525946
47829,0.46500534
47830,0.90581095
47831,0.78771615
47832,0.8417795
47833,0.8167496
47834,0.7268492
47835,0.7153096
47836,0.51121664
47837,0.70707965
47838,0.88794863
47839,0.57660425
47840,0.06984779
47841,0.26134318
47842,0.7844366
47843,0.68630695
47844,0.061229825
47845,0.8084605
47846,0.40314856
47847,0.18575554
47848,0.024807125
47849,0.9011195
47850,0.63007224
47851,0.9302503
47852,0.87959516
47853,0.07350846
47854,0.37237433
47855,0.7577634
47856,0.4288422
47857,0.8572931
47858,0.05367759
47859,0.71489286
47860,0.15158582
47861,0.86580896
47862,0.9652009
47863,0.24903779
47864,0.06283119
47865,0.9708196
47866,0.75652015
47867,0.5489789
47868,0.19804043
47869,0.8165029
47870,0.2106733
47871,0.44775984
47872,0.35026002
47873,0.97221553
47874,0.8969418
47875,0.76589215
47876,0.3173309
47877,0.14581595
47878,0.23075843
47879,0.14119434
47880,0.17748405
47881,0.4432401
47882,0.30145013
47883,0.5557546
115925,0.48182476
115926,0.55245554
115927,0.2226265
115928,0.03281349
115929,0.033320278
115930,0.11063881
115931,0.25192922
115932,0.30528775
115933,0.3047393
115934,0.038151205
115935,0.14517908
115936,0.20338418
115937,0.22153431
115938,0.36393005
115939,0.26944038
115940,0.7033757
115941,0.8308393
115942,0.20262554
115943,0.16499457
115944,0.9429872
115945,0.116033405
115946,0.21189852
115947,0.44267735
115948,0.9762268
115949,0.39192605
115950,0.38583028
115951,0.6653637
115952,0.64900255
115953,0.8117286
115954,0.6772586
115955,0.8863032
115956,0.9217205
115957,0.72439396
115958,0.14909433
115959,0.6718923
115960,0.9730607
115961,0.8550017
115962,0.44987893
115963,0.8592279
115964,0.6930883
115965,0.411594
115966,0.36779097
115967,0.94759464
115968,0.51524425
115969,0.34314585
115970,0.9076052
115971,0.68087673
115972,0.90951574
115973,0.24681355
115974,0.6307323
115975,0.8785547
115976,0.55915105
115977,0.054728717
115978,0.6604283
115979,0.23297796
115980,0.18981965
115981,0.9447583
115982,0.27385724
115983,0.3812359
115984,0.11258057
115985,0.5385429
115986,0.91038203
115987,0.7334124
115988,0.88473845
115989,0.13464843
115990,0.2895177
115991,0.7502258
115992,0.70135057
115993,0.6733023
115994,0.4995141
115995,0.61655605
115996,0.11667368
115997,0.64287746
115998,0.3997606
115999,0.8921108
116000,0.81897366
116001,0.1944403
116002,0.8866713
116003,0.6834433
116004,0.13068734
116005,0.025355607
116006,0.84204113
116007,0.06190431
116008,0.9542328
116009,0.79669
116010,0.18260401
116011,0.86880565
116012,0.81511843
116013,0.22175944
116014,0.04877773
116015,0.030092865
116016,0.83421576
116017,0.4544801
116018,0.088955015
116019,0.85424066
116020,0.4881599
116021,0.37783626
116022,0.8520632
116023,0.8937564
116024,0.74816644
116025,0.8488723
116026,0.60048723
116027,0.9109292
116028,0.9153161
116029,0.72843564
116030,0.6895802
116031,0.08030179
116032,0.33762667
116033,0.23142214
116034,0.71383834
116035,0.10866165
116036,0.44095352
116037,0.037831813
116038,0.07784103
116039,0.030747205
116040,0.9003165
116041,0.6130941
116042,0.8192717
116043,0.680472
116044,0.116505176
116045,0.15825495
116046,0.39757544
116047,0.169412
116048,0.8618423
116049,0.18394016
116050,0.79070246
116051,0.11121386
116052,0.74105394
116053,0.75177956
116054,0.28903797
116055,0.08098814
116056,0.90190697
116057,0.8506931
116058,0.51410973
116059,0.7733568
116060,0.86256623
116061,0.21110882
116062,0.3227478
116063,0.3415407
